,result,table,_start,_stop,_time,_value,_field,_measurement,device,exercise
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:52:29.031909Z,88,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:52:29.322338Z,88,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:52:29.846531Z,88,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:52:30.370578Z,88,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:52:30.808341Z,88,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:52:31.244215Z,88,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:52:31.771734Z,88,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:52:32.382963Z,90,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:52:32.822003Z,90,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:52:33.257214Z,91,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:53:51.964979Z,52,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:53:51.976672Z,52,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:53:51.998367Z,52,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:53:52.00673Z,52,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:53:52.014767Z,52,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:53:52.019612Z,52,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:53:52.270785Z,52,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:53:52.702967Z,52,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:53:53.22899Z,52,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:53:53.930991Z,52,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:54:29.663043Z,77,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:54:29.806111Z,77,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:54:30.244169Z,77,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:54:30.856141Z,75,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:54:31.202778Z,75,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:54:31.730542Z,75,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:54:32.353318Z,75,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:54:32.782233Z,75,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:54:33.215522Z,75,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:54:33.923566Z,74,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:09.294221Z,57,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:09.632652Z,57,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:10.404661Z,57,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:10.7538Z,59,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:11.192493Z,61,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:11.631302Z,61,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:12.243006Z,63,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:12.69365Z,63,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:13.130633Z,63,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:13.745075Z,64,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:49.011391Z,69,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:49.608785Z,69,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:49.867738Z,69,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:50.392986Z,71,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:51.004286Z,72,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:51.528868Z,72,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:52.054603Z,73,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:52.404691Z,73,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:53.19124Z,73,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:55:53.365435Z,75,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:56:30.562178Z,75,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:56:30.571241Z,75,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:56:31.429754Z,75,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:56:32.306756Z,77,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:56:32.315603Z,79,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:56:32.568915Z,79,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:56:33.09252Z,80,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:56:35.196605Z,80,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:56:35.369988Z,80,heartRate,test,R02_000D,BR
,,0,2024-10-19T14:48:11.055668Z,2024-10-19T15:03:11.055668Z,2024-10-19T14:56:35.379321Z,80,heartRate,test,R02_000D,BR
